ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
2492   JAC15    SMSS_J224843.95-543610.1   *       RG     22_48_43.95      -54_36_10.1      *         *        *        *        *        4819   1.6    -2.38   2.3    SMSS_J224843.95-543610.1             -2.38    -1.97   
2493   JAC15    SMSS_J225851.25-265434.9   *       RG     22_58_51.25      -26_54_34.9      *         *        *        *        *        4612   0.8    -3.49   2.45   SMSS_J225851.25-265434.9             -3.48    -3.42   
2494   JAC15    SMSS_J230013.16-263511.0   *       RG     23_0_13.16       -26_35_11        *         *        *        *        *        4495   0.55   -3.35   2.85   SMSS_J230013.16-263511.0             -3.35    -2.72   
2495   JAC15    SMSS_J230113.95-291458.2   *       RG     23_1_13.95       -29_14_58.2      *         *        *        *        *        4693   1.25   -2.53   2.65   SMSS_J230113.95-291458.2             -2.53    -2.22   
2496   PRE00    CS29497-017                *       MS     0_31_25.746      -23_57_26.82     70        14.36    14.14    13.56    13.44    7500   4.2    -1.19   2.5    Ton_S_162                            -1.17    -0.54   
2497   HON04    BS16085-050                *       RG     12_37_46.68      19_22_49.45      -77       12.93    12.16    10.467   9.935    4950   1.8    -2.91   1.8    TYC_1448-282-1                       -2.9     -2.32   
2499   ALL12    BS16077-077                NO      SG     11_55_16.56      28_21_0.91       *         12.48    12.32    10.999   10.652   5900   3.19   -2.05   1      TYC_1987-753-1                       -2.05    -1.52   
2500   HON04    BS17583-100                *       SG     21_42_27.848     26_40_35.52      -108      12.71    12.04    11.103   10.657   5930   4      -2.42   1.4    TYC_2197-1168-1                      -2.41    -2.17   
2501   LI15a    LAMOSTJ0102+0428           *       RG     1_2_12.668       4_28_24.02       *         12.79    11.9     9.772    9.075    4540   0.6    -2.75   2.5    TYC_22-581-1                         -2.75    -2.36   
2502   HOL15    HE0414-0343                CR      RG     4_17_16.467      -3_36_31.32      -36       12.23    11.04    9.193    8.51     4863   1.25   -2.24   2.2    TYC_4729-1290-1                      -2.24    -1.78   
2503   BAR05    HE0926-0508                *       MS     9_28_55.349      -5_21_40.38      191       12.34    12.194   11.279   10.948   6249   4.24   -2.78   1.6    TYC_4889-826-1                       -2.78    -2.52   
2506   BAR05    HE1120-0153                *       MS     11_22_43.383     -2_9_36.57       256.41    12.21    11.789   10.757   10.473   6191   4.09   -2.77   0.68   TYC_4923-62-1                        -2.76    -2.74   
2507   HOL11    HE1116-0634                *       RG     11_18_35.888     -6_50_45.11      116.09    12.577   11.606   9.675    9.005    4400   0.1    -3.73   2.4    TYC_4928-1438-1                      -3.73    -2.91   
2508   HOL11    HE1317-0407                *       RG     13_19_47.002     -4_23_10.25      -38       12.97    12.116   10.471   9.853    4525   0.3    -3.1    2.15   TYC_4961-1053-1                      -3.1     -2.54   
2509   RUC11    TYC4982-898-1              *       RG     14_12_31.44      -5_2_1.74        63        12.413   11.623   9.976    9.41     4989   2.03   -2.23   1.6    TYC_4982-898-1                       -2.23    -2.06   
2510   AOK05    CS30329-004                *       RG     15_48_41.889     -6_52_37.35      *         12.74    12.13    10.053   9.457    5000   1.5    -2.7    2.2    TYC_5030-1015-1                      -2.75    -2.16   
2511   RUC11    TYC5204-805-1              *       RG     21_0_38.2395     -5_39_17.336     -115.8    11.51    10.82    9.12     8.542    5014   1.56   -2.05   1.9    TYC_5204-805-1                       -2.05    -1.63   
2512   PRE00    CS22170-028                *       SG     0_51_7.367       -11_8_31.95      -15       11.7     11.52    11.246   11.168   8050   3.6    -0.68   3      TYC_5270-1900-1                      -0.66    -0.16   
2513   AOK07a   CS22174-007                *       RG     1_14_6.478       -11_2_35.4       -103      12.32    12.43    10.885   10.318   5300   2.7    -2.3    2.1    TYC_5273-836-1                       -2.24    -1.78   
2514   RUC11    TYC5329-1927-1             *       RG     5_6_20.122       -13_44_21.88     202.1     13.06    11.71    9.758    9.02     4573   1      -2.19   2      TYC_5329-1927-1                      -2.19    -1.77   
2516   LI15a    LAMOSTJ0326+0202           *       RG     3_26_53.885      2_2_28.33        53        12.49    12.67    10.11    9.486    4700   1.1    -3.36   1.8    TYC_57-1052-1                        -3.36    -2.61   
2517   HOL11    HE2148-1105a               *       RG     21_50_41.517     -10_50_58.06     -87.17    12.88    11.91    10.375   9.712    4400   0.2    -2.98   2.65   TYC_5793-10-1                        -2.98    -2.71   
2518   HOL11    HE2253-0849                *       RG     22_55_43.006     -8_33_27.93      -89.4     13.05    12.39    10.017   9.297    4425   0.2    -2.88   2.65   TYC_5813-540-1                       -2.88    -2.38   
2520   RUC11    TYC5861-1732-1             *       RG     2_11_10.198      -19_11_23.79     -87.7     12.03    11.43    9.835    9.366    5288   3.09   -2.1    1.3    TYC_5861-1732-1                      -2.1     -1.73   
2521   RUC11    TYC5911004521              *       MS     4_53_22.6423     -22_10_39.516    11.06     11.05    10.66    9.832    9.473    6445   4.16   -2.12   1.5    TYC_5911-452-1                       -2.12    -1.8    
2522   RUC11    TYC5915-1267-1             *       RG     5_21_50.102      -15_37_5.99      98.5      12.796   11.988   10.277   9.702    5039   1.53   -2.02   2      TYC_5915-1267-1                      -2.02    -1.61   
2523   RUC11    TYC6088-1943-1             *       RG     11_26_51.39      -18_5_29.8       92.1      11.815   11.161   *        *        5198   2.42   -2.21   1.4    TYC_6088-1943-1                      -2.21    -2.0    
2524   RUC11    TYC6124-458-1              *       RG     13_24_14.287     -18_6_21.1       -110      12.46    11.409   9.684    9.079    4924   1.81   -2.2    1.7    TYC_6124-458-1                       -2.2     -2.04   
2525   RUC11    TYC6361-708-1              *       RG     21_35_39.29      -15_26_31.22     39.3      12.67    11.49    9.347    8.579    4500   0.87   -2.12   2.1    TYC_6361-708-1                       -2.12    -1.85   
2526   RUC11    TYC6393-564-1              *       RG     22_49_23.564     -21_30_29.5      -111.3    12.98    12.54    10.599   10.06    5218   2.67   -2.38   1.4    TYC_6393-564-1                       -2.38    -2.09   
2527   RUC11    TYC6900-414-1              *       RG     20_4_20.3238     -27_1_10.767     44.3      11.845   10.84    9.486    8.91     5203   2.74   -2.03   1.3    TYC_6900-414-1                       -2.03    -1.74   
2528   RUC11    TYC6953005101              *       RG     21_51_52.4842    -22_56_5.824     -62.4     11.859   10.95    9.239    8.591    4834   1.54   -2.01   1.9    TYC_6953-510-1                       -2.01    -1.67   
2529   HAN15    HE0440-3426                CR      RG     4_42_8.168       -34_21_13.87     355       12.88    11.44    9.651    8.966    4800   1.6    -2.2    1.9    TYC_7042-1098-1                      -2.19    -1.76   
2530   RUC11    TYC7062-1120-1             *       RG     5_51_42.138      -33_27_33.76     103.5     12.61    11.91    10.08    9.455    4617   0.96   -2.46   1.9    TYC_7062-1120-1                      -2.46    -2.02   
2531   RUC11    TYC7099-1614-1             *       RG     6_40_13.172      -35_40_44.23     138.2     12.809   12.104   10.544   10.032   5227   2.99   -2.11   1.5    TYC_7099-1614-1                      -2.11    -1.74   
2532   RUC11    TYC7453-1122-1             *       RG     20_10_31.944     -35_58_54.63     130.8     12.125   11.401   9.776    9.238    5250   1.8    -2.19   2      TYC_7453-1122-1                      -2.19    -1.85   
2533   RUC11    TYC75-1185-1               *       RG     4_23_14.544      1_30_48.34       -45       12.262   11.483   9.622    9.016    5074   2.18   -2.66   1.6    TYC_75-1185-1                        -2.66    -2.36   
2534   RUC11    TYC7577-1592-1             *       RG     4_1_48.97        -37_57_53.24     139.1     12.372   11.619   10.005   9.427    4911   1.4    -2.03   2.1    TYC_7577-1592-1                      -2.03    -1.57   
2535   RUC11    TYC7602-1143-1             *       RG     5_52_15.783      -39_53_18.47     102       12.405   11.532   9.71     9.075    4875   1.87   -2.05   1.9    TYC_7602-1143-1                      -2.05    -1.75   
2536   HAN15    HE0448-4806                CR      SG     4_49_33.066      -48_1_8.13       126       13.45    12.35    11.593   11.212   5900   3.6    -2.3    1.2    TYC_8080-239-1                       -2.26    -1.82   
2537   RUC11    TYC8400-122-1              *       RG     20_7_28.572      -49_54_34.29     -123.8    12.37    11.25    9.313    8.476    4448   0.97   -2.13   2.1    TYC_8400-122-1                       -2.13    -1.77   
2538   ROE14b   CS22943-095                *       SG     20_27_29.971     -46_50_56.27     -166      12.063   12.62    10.784   10.469   6140   3.8    -2.44   1.35   TYC_8406-355-1                       -2.52    -2.12   
2539   RUC11    TYC8764-1992-1             *       RG     19_16_18.216     -55_44_45.46     45.5      12.643   11.447   9.35     8.529    4438   0.83   -2.18   2.1    TYC_8764-1992-1                      -2.18    -1.82   
2540   PRE00    CS22896-0149               *       SG     19_43_44.915     -56_10_8.76      *         12.62    13.03    11.552   11.468   7950   4      -0.16   2.5    TYC_8778-1253-1                      -0.14    -0.1    
2541   RUC11    TYC8786-651-1              *       RG     19_33_38.207     -59_59_2.99      13.3      12.34    11.429   9.681    9.072    4920   1.41   -2.03   2.1    TYC_8786-651-1                       -2.03    -1.74   
2542   RUC11    TYC8833-786-1              *       RG     23_52_10.311     -53_49_29.27     -5.8      12.49    11.6     9.504    8.771    4492   0.87   -2.25   2.3    TYC_8833-786-1                       -2.25    -1.83   
2543   RUC11    TYC9338-874-1              *       RG     23_2_22.889      -68_33_23.4      134.1     12.276   11.592   10.091   9.588    5119   2.4    -2.42   1.6    TYC_9338-874-1                       -2.42    -1.95   
2544   AND10    CS29527-015                *       SG     0_29_10.675      -19_10_7.25      48        14.61    14.24    13.298   13.05    6240   4      -3.55   1.6    UCAC2_24258051                       -3.55    -3.14   
2545   AOK13    SDSSJ002910.72-191007.5    *       SG     0_29_10.675      -19_10_7.25      48        14.61    14.24    13.298   13.05    6500   4      -3.15   1.5    UCAC2_24258051                       -3.15    -2.78   
2546   BON09    CS29527-015                NO      SG     0_29_10.675      -19_10_7.25      48        14.61    14.24    13.298   13.05    6242   4      -3.55   1.6    UCAC2_24258051                       -3.55    -3.14   
2547   RYA96    CS29527-015                *       SG     0_29_10.675      -19_10_7.25      48        14.61    14.24    13.298   13.05    6150   4      -3.43   1.3    UCAC2_24258051                       -3.43    <-2.67  
2549   AND10    CS22953-037                *       MS     1_25_6.649       -59_16_0.7       -153      14.01    13.64    12.683   12.46    6360   4.3    -2.89   1.4    UCAC2_5736774                        -2.89    -2.55   
2550   BON09    CS22953-037                *       MS     1_25_6.649       -59_16_0.7       -153      14.01    13.64    12.683   12.46    6364   4.25   -2.89   1.4    UCAC2_5736774                        -2.89    -2.55   
2551   ROE14b   CS22953-037                CR      SG     1_25_6.649       -59_16_0.7       -153      14.01    13.64    12.683   12.46    6150   3.7    -3.05   1.65   UCAC2_5736774                        -3.21    -2.66   
2552   RYA96    CS22953-037                *       SG     1_25_6.649       -59_16_0.7       -153      14.01    13.64    12.683   12.46    6150   4      -2.94   1.2    UCAC2_5736774                        -2.94    -2.56   
2554   CAF11a   SDSSJ102915.14+172927.9    NO      SG     10_29_15.152     17_29_27.88      *         *        *        15.51    15.15    5811   4      -4.73   1.5    UCAC3_215-112497                     -4.73    -4.7    
2555   AOK13    SDSSJ071105.43+670228.2    NO      RG     7_11_5.42        67_2_28.26       111.79    16.72    16.1     14.41    13.86    5350   3      -2.91   1.5    UCAC3_315-38909                      -2.91    -2.76   
2556   COH13    HE0009-6039                *       RG     0_11_31          -60_22_21        25        *        16.54    *        *        5250   2.7    -3.29   1.8    UCAC4_149-000191                     -3.29    -3.28   
2557   COH13    HE0411-5725                *       RG     4_12_5.3         -57_17_59        286.1     *        15.79    *        *        5000   2.1    -3.08   1.7    UCAC4_164-003972                     -3.08    -2.75   
2558   COH13    HE0533-5340                *       RG     5_34_54.1        -53_38_24        149.9     *        15.14    *        *        4937   1.8    -2.67   2.1    UCAC4_182-005827                     -2.67    -2.93   
2559   COH13    HE0312-5200                *       RG     3_13_56.5        -51_49_2         -2.4      *        15.38    *        *        5204   2.6    -3.11   1.8    UCAC4_191-003009                     -3.11    -2.91   
2560   COH13    HE2339-5105                *       RG     23_42_22.1       -50_48_39        -3        *        15.94    *        *        4909   1.75   -2.88   1.9    UCAC4_196-198545                     -2.88    -2.45   
